;MAINDEC-10-I108.INP









		IDENTIFICATION
		--------------

	PRODUCT CODE:	MAINDEC-10-I108.INP

	PRODUCT NAME:	DECSYSTEM10 KL10 DIAGNOSTIC LIST

	VERSION:	4.8

	DATE:		AUGUST 1976

	AUTHOR:		JOHN R. KIRCHOFF


	MAINTAINED BY:	DECSYSTEM10 RELEASE ENGINEERING
DIAGNOSTIC MAGTAPE CREATED BY MAGTAP VER 0.1 ON 23-AUG-76 AT 14:22

  0. MAGTAP RDI         20-FEB-76 	MAGTAPE READ-IN BOOTSTRAP


;MAGTAPE UTILITY PROGRAMS AND DIRECTORY FILES

  1. MAGTAP SAV   0.1    5-MAR-65 	MAGTAPE CREATOR

  2. MAGMON SAV   0.10  26-FEB-76 	MAGTAPE MONITOR

  3. MAGTAP MTA         23-AUG-76 	INTERNAL MAGTAPE DIRECTORY

  4. MAGTAP DIR         23-AUG-76 	PRINTABLE MAGTAPE DIRECTORY

  5. I108   INP         23-AUG-76 	MAGTAPE INPUT FILE - 1080 REV 8

  6. SUBRTN A10   0.11   3-JUN-76 	PDP-10 SUBRTN

  7. KLDDT  A10   0.10  26-FEB-76 	PDP-10 DDT

  8. I208   INP         23-AUG-76 	MAGTAPE INPUT FILE - 2040 REV 8
;CONSOLE

  9. KLDCP  BIN         22-JUN-76 	KL10 DIAGNOSTIC CONSOLE
 10. KLDCPU A11   0.11  22-JUN-76 	KL10 CONSOLE UTILITY
 11. CDUMP  A11   0.11  22-JUN-76 	KL10 CONSOLE CORE DUMP UTILITY
 12. KLDCP  HLP         22-JUN-76 	  HELP FILE

 13. KLDTBT BIN         27-JAN-76 	KLDCP DECTAPE BOOT
 14. KLRXBT BIN         27-JAN-76 	KLDCP FLOPPY BOOT

 15. UPD2   BIN         27-JAN-76 	UPDATE PROGRAM #2
 16. XTECO  BIN         27-JAN-76 	TEXT EDITOR

;SYSTEM #1

 17. U      RAM    126  18-DEC-75 	KL10 MICROCODE

 18. B      CMD         26-FEB-76 	KL10 DIAGNOSTIC RUN FILE
 19. BT     CMD         22-JUN-76 	KL10 BOOT TEN RUN FILE

 20. CONFG  CCL          4-DEC-75 	MEMORY CONFIGURATION RUN FILE
 21. KLLD   CCL         13-FEB-76 	KL10 "SUBRTN" & "KLDDT"  LOAD

 22. CONEX  A11   0.10   6-APR-76 	CONSOLE EXTENSION & MEMORY CONFIGURATOR
 23. CONEX  HLP          9-APR-76 	  HELP FILE

 24. SUBRTN A10   0.11   3-JUN-76 	PDP-10 SUBROUTINE PROGRAM
 25. KLDDT  A10   0.10  26-FEB-76 	PDP-10 DDT
 26. DIAMON A10   0.11   1-JUN-76 	PDP-10 DIAGNOSTIC MONITOR
 27. MAGMON A10   0.10  26-FEB-76 	PDP-10 MAGTAPE MONITOR

;SYSTEM #2

 28. KLCPU  CMD         24-FEB-76 	FUNCTIONAL COMMAND RUN FILE
 29. KLCPUO CMD         24-FEB-76 	OLD FUNCTIONAL COMMAND RUN FILE
 30. KLPROC CMD         13-FEB-76 	"DIAMON" FUNCTIONAL RUN FILE
 31. KLPROO CMD         13-FEB-76 	"DIAMON" OLD FUNCTIONAL RUN FILE
 32. KLUSR  CMD         13-FEB-76 	"DIAMON" USER FUNCTIONAL RUN FILE
 33. KLUSRO CMD         13-FEB-76 	"DIAMON" OLD USER FUNCTIONAL RUN FILE

 34. X1     CCL          4-DEC-75 	EXTERNAL MEMORY CONFG - 1 WAY INTERLEAVE
 35. X2     CCL          4-DEC-75 	EXTERNAL MEMORY CONFG - 2 WAY INTERLEAVE
 36. X4     CCL          4-DEC-75 	EXTERNAL MEMORY CONFG - 4 WAY INTERLEAVE

 37. TRACE  A11   0.8   18-FEB-76 	DIAGNOSTIC SIGNAL TRACE UTILITY
 38. TRACE  HLP          3-SEP-75 	  HELP FILE
	
 39. DGQDD  A11    1    29-JUN-76 	DLDP - DL11E MONITOR
 40. DGQDE  A11    1    21-JUN-76 	DN87S LOADER UTILITY PROGRAM
;SPECIAL #1

 41. MARGN  CMD          8-APR-76 	CMD FILE TO MARGIN TEST INTERNAL MEMORIES
 42. MARGNR CMD          8-APR-76 	CMD FILE TO MARGIN TEST RELOCATED INTERNAL MEMORIES
 43. CONFG1 CCL          2-APR-76 	INTERNAL MEMORY CONFG - 1 WAY INTERLEAVE
 44. CONFGR CCL          6-APR-76 	CCL FILE TO RELOCATE INTERNAL MEMORIES
 45. MEMLOD CCL          8-APR-76 	CCL FILE TO TURN OFF MARGINS AND LOAD DDMMG
 46. PATTST CCL          8-APR-76 	CCL FILE TO PATCH DDMMG TO RUN A PATTERN TEST
 47. ADRTST CCL          8-APR-76 	CCL FILE TO PATCH DDMMG TO RUN AN ADDRESS TEST
 48. WCPTST CCL          8-APR-76 	CCL FILE TO PATCH DDMMG TO RUN WORST-CASE PATTERNS
 49. LOMARC CCL          5-APR-76 	CCL FILE TO SET LOW CURRENT MARGINS
 50. HIMARC CCL          5-APR-76 	CCL FILE TO SET HIGH CURRENT MARGINS
 51. LOMARS CCL          5-APR-76 	CCL FILE TO SET LOW STROBE MARGINS
 52. HIMARS CCL          5-APR-76 	CCL FILE TO SET HIGH STROBE MARGINS
 53. LOMART CCL          5-APR-76 	CCL FILE TO SET LOW THRESHOLD MARGINS
 54. HIMART CCL          5-APR-76 	CCL FILE TO SET HIGH THRESHOLD MARGINS
 55. MGNOFF CCL          2-APR-76 	CCL FILE TO CLEAR MARGINS
;KL10 PROCESSOR FUNCTIONAL DIAGNOSTICS (NEW)

 56. DFKAA  A10   0.1   25-AUG-75 	BASIC INSTRUCTIONS #1
 57. DFKAB  A10   0.1   11-SEP-75 	BASIC INSTRUCTIONS #2
